,subclass,zoning,lotfrontage,lotarea,street,alley,lotshape,landcontour,utilities,lotconfig,landslope,neighborhood,condition1,condition2,bldgtype,housestyle,overallqual,overallcond,yearbuilt,yearremodel,roofstyle,roofmat,exterior1,exterior2,masvnrtype,masvnrarea,exterqual,extercond,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,totalbsmtsf,heating,heatingqc,centralair,electrical,firstflrsf,secondflrsf,lowqualfinsf,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,totrmsabvgrd,functional,fireplaces,fireplacequ,garagetype,garageyrblt,garagefinish,garagecars,garagearea,garagequal,garagecond,paveddrive,wooddecksf,openporchsf,enclosedporch,threessnporch,screenporch,poolarea,poolqc,fence,miscfeature,miscval,mosold,yrsold,saletype,salecondition,saleprice,index,totalsf
806,20,RL,,14694,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,8,9,1977,2008,Gable,CompShg,MetalSd,MetalSd,BrkFace,450.0,Ex,Ex,CBlock,Gd,Gd,Gd,GLQ,1252.0,ALQ,136.0,306.0,1694.0,GasA,Ex,Y,SBrkr,1694,0,0,1694,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Gd,Attchd,1977.0,Fin,2,642,TA,TA,Y,501,120,0,225,0,0,,,,0,6,2009,WD,Normal,318750,1185,3388.0
807,120,RL,61.0,7577,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,Gd,TA,PConc,Gd,TA,Av,ALQ,20.0,Unf,0.0,1342.0,1362.0,GasA,Ex,Y,SBrkr,1362,0,0,1362,0.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2005.0,RFn,2,460,TA,TA,Y,192,28,0,0,0,0,,,,0,6,2007,WD,Normal,194700,1186,2724.0
808,120,RL,40.0,3880,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Greens,Norm,Norm,Twnhs,1Story,8,6,1978,1978,Gable,CompShg,Wd Sdng,Plywood,None,0.0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,1052.0,Unf,0.0,174.0,1226.0,GasA,TA,Y,SBrkr,1226,0,0,1226,1.0,0.0,1,0,1,1,Gd,4,Typ,1,TA,Attchd,1978.0,Fin,2,484,TA,TA,Y,223,78,0,0,0,0,,,,0,1,2010,WD,Normal,206000,1187,2452.0
809,20,RL,43.0,13568,Pave,,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,716.0,Unf,0.0,274.0,990.0,GasA,Ex,Y,SBrkr,990,0,0,990,0.0,1.0,1,0,3,1,TA,5,Typ,0,,Attchd,1996.0,Unf,2,576,TA,TA,Y,224,0,0,0,0,0,,,,0,7,2006,WD,Normal,156000,1188,1980.0
810,120,RL,48.0,6240,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,24.0,Unf,0.0,1318.0,1342.0,GasA,Ex,Y,SBrkr,1342,0,0,1342,0.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2007.0,RFn,2,550,TA,TA,Y,0,35,0,0,0,0,,,,0,2,2008,WD,Normal,219500,1191,2684.0
811,20,RL,150.0,215245,Pave,,IR3,Low,AllPub,Inside,Sev,Timber,Norm,Norm,1Fam,1Story,7,5,1965,1965,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,1236.0,Rec,820.0,80.0,2136.0,GasW,TA,Y,SBrkr,2036,0,0,2036,2.0,0.0,2,0,3,1,TA,8,Typ,2,Gd,Attchd,1965.0,RFn,2,513,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2009,WD,Normal,375000,1192,4172.0
812,20,RL,70.0,9135,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,Gd,TA,PConc,Gd,TA,Av,GLQ,810.0,Unf,0.0,726.0,1536.0,GasA,Ex,Y,SBrkr,1536,0,0,1536,1.0,0.0,2,0,3,1,Gd,7,Typ,0,,Attchd,2002.0,RFn,2,532,TA,TA,Y,192,74,0,0,0,0,,,,0,12,2008,WD,Normal,214000,1193,3072.0
813,60,RL,97.0,10990,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,851.0,Unf,0.0,213.0,1064.0,GasA,Ex,Y,SBrkr,1064,1061,0,2125,1.0,0.0,2,1,4,1,Gd,12,Typ,2,TA,Attchd,1996.0,RFn,2,576,TA,TA,Y,168,0,0,0,0,0,,,,0,6,2008,WD,Normal,279500,1194,3189.0
814,20,RL,65.0,9750,Pave,,Reg,Low,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,722.0,Unf,0.0,268.0,990.0,GasA,Ex,Y,SBrkr,990,0,0,990,1.0,0.0,1,0,3,1,TA,5,Typ,0,,Detchd,1997.0,Unf,2,528,TA,TA,Y,168,0,0,0,0,0,,,,0,8,2008,WD,Normal,155000,1195,1980.0
815,70,RM,35.0,4571,Pave,Gr,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,7,1910,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,168.0,Unf,0.0,448.0,616.0,GasA,Ex,Y,SBrkr,616,616,0,1232,0.0,0.0,1,0,3,1,TA,6,Typ,0,,Detchd,1920.0,Unf,2,480,Fa,Fa,Y,280,0,143,0,0,0,,,,0,6,2007,WD,Normal,114000,1196,1848.0
816,20,RL,63.0,7584,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Arter,Norm,1Fam,1Story,5,5,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,88.0,TA,TA,CBlock,TA,TA,No,LwQ,531.0,Unf,0.0,505.0,1036.0,GasA,Ex,Y,SBrkr,1036,0,0,1036,0.0,0.0,1,0,3,1,TA,5,Typ,0,,Attchd,1953.0,RFn,1,312,TA,TA,Y,120,24,0,0,0,0,,MnPrv,,0,6,2008,WD,Normal,112900,1198,2072.0
818,160,FV,,2403,Pave,,IR1,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,244.0,Unf,0.0,286.0,530.0,GasA,Ex,Y,SBrkr,530,550,0,1080,0.0,0.0,2,1,2,1,Gd,4,Typ,0,,Attchd,2003.0,RFn,2,496,TA,TA,Y,0,50,0,0,0,0,,,,0,6,2010,WD,Normal,147110,1200,1610.0
819,160,FV,32.0,2880,Pave,Pa,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1376.0,1376.0,GasA,Ex,Y,SBrkr,1376,1629,0,3005,0.0,0.0,2,1,3,1,Gd,9,Mod,1,TA,BuiltIn,2004.0,Fin,3,704,TA,TA,Y,0,177,0,0,0,0,,,,0,7,2009,WD,Normal,280750,1201,4381.0
820,70,RM,57.0,6876,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,6,5,1927,1950,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,Fa,No,BLQ,522.0,Unf,0.0,198.0,720.0,GasA,Fa,Y,SBrkr,1146,784,0,1930,1.0,0.0,2,0,4,1,TA,8,Typ,0,,Attchd,1927.0,Unf,1,316,TA,TA,Y,0,0,213,0,0,0,,MnPrv,,0,8,2009,WD,Normal,149000,1202,2650.0
821,120,RL,24.0,2280,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,7,1976,1976,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,120.0,BLQ,492.0,443.0,1055.0,GasA,TA,Y,SBrkr,1055,0,0,1055,1.0,0.0,2,0,2,1,TA,4,Typ,0,,Attchd,1976.0,Unf,1,319,TA,TA,Y,0,29,0,0,0,0,,,,0,4,2006,WD,Normal,137500,1203,2110.0
823,20,RL,70.0,12243,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,5,6,1971,1971,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,998.0,Unf,0.0,486.0,1484.0,GasA,Gd,Y,SBrkr,1484,0,0,1484,0.0,0.0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1971.0,Unf,2,487,TA,TA,Y,224,0,0,0,180,0,,,,0,2,2007,WD,Normal,175000,1209,2968.0
824,160,RM,21.0,1936,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,546.0,546.0,GasA,Gd,Y,SBrkr,546,546,0,1092,0.0,0.0,1,1,3,1,TA,5,Typ,0,,,,,0,0,,,Y,0,0,0,0,0,0,,,,0,6,2006,WD,Normal,90500,1210,1638.0
825,20,FV,80.0,8000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,833.0,Unf,0.0,659.0,1492.0,GasA,Ex,Y,SBrkr,1492,0,0,1492,1.0,0.0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2002.0,RFn,2,596,TA,TA,Y,277,137,0,0,0,0,,,,0,4,2010,WD,Normal,230000,1211,2984.0
826,20,RL,75.0,10215,Pave,,Reg,Bnk,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,1954,1954,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,132.0,TA,TA,PConc,TA,TA,No,ALQ,492.0,Unf,0.0,372.0,864.0,GasA,Ex,Y,SBrkr,948,0,0,948,0.0,0.0,1,0,3,1,TA,5,Typ,0,,Attchd,1954.0,Unf,1,248,TA,TA,Y,0,0,0,0,0,0,,,,0,2,2007,WD,Normal,111000,1212,1812.0
827,30,RM,47.0,4608,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Arter,Norm,1Fam,1Story,4,6,1945,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,747.0,747.0,GasA,TA,Y,SBrkr,747,0,0,747,0.0,0.0,1,0,2,1,TA,4,Typ,0,,Attchd,1945.0,Unf,1,220,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2010,WD,Normal,80000,1213,1494.0
828,60,RL,69.0,7590,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm,1Fam,2Story,6,5,1966,1966,Gable,CompShg,VinylSd,VinylSd,BrkFace,266.0,TA,TA,CBlock,TA,TA,No,BLQ,512.0,Unf,0.0,148.0,660.0,GasA,TA,Y,SBrkr,660,688,0,1348,0.0,0.0,1,1,3,1,TA,6,Typ,1,Fa,Attchd,1966.0,RFn,2,453,TA,TA,Y,188,108,0,0,0,0,,,,0,7,2006,WD,Normal,155000,1214,2008.0
829,160,FV,34.0,3230,Pave,Pa,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,1129.0,TA,TA,PConc,Gd,TA,No,GLQ,419.0,Unf,0.0,310.0,729.0,GasA,Gd,Y,SBrkr,729,729,0,1458,0.0,0.0,2,1,2,1,TA,5,Typ,1,Fa,Detchd,1999.0,Unf,2,440,TA,TA,Y,0,32,0,0,0,0,,,,0,6,2007,WD,Normal,176000,1216,2187.0
830,50,RL,51.0,10480,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,1936,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,1064.0,1064.0,GasA,Ex,Y,FuseA,1166,0,473,1639,0.0,0.0,1,0,3,1,TA,6,Maj,0,,Detchd,1936.0,Unf,1,240,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2008,WD,Normal,115000,1217,2703.0
831,70,RL,,11435,Pave,,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,792.0,792.0,GasA,Fa,Y,SBrkr,792,725,0,1517,0.0,0.0,1,0,3,1,Gd,7,Typ,2,Gd,Detchd,1931.0,Unf,2,400,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2006,WD,Normal,230000,1220,2309.0
832,20,RL,81.0,14175,Pave,,Reg,Bnk,AllPub,Inside,Mod,Sawyer,PosA,Norm,1Fam,1Story,5,5,1956,1998,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,386.0,ALQ,522.0,332.0,1240.0,GasA,Gd,Y,SBrkr,1375,0,0,1375,1.0,0.0,1,0,3,1,TA,6,Typ,1,Gd,Attchd,1956.0,Unf,1,323,TA,TA,Y,0,0,0,0,0,0,,,,0,12,2007,WD,Normal,187000,1223,2615.0
833,60,RL,70.0,8400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,643.0,Unf,0.0,167.0,810.0,GasA,Ex,Y,SBrkr,810,855,0,1665,1.0,0.0,2,1,3,1,Gd,6,Typ,0,,Attchd,2001.0,Fin,2,528,TA,TA,Y,0,45,0,0,0,0,,,,0,11,2009,WD,Normal,227000,1226,2475.0
834,20,RL,78.0,11645,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,24.0,Unf,0.0,1474.0,1498.0,GasA,Ex,Y,SBrkr,1498,0,0,1498,0.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2005.0,Fin,3,844,TA,TA,Y,144,98,0,0,0,0,,,,0,3,2009,WD,Normal,237000,1227,2996.0
835,120,RM,,4435,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,Gd,TA,PConc,Gd,TA,Av,GLQ,685.0,Unf,0.0,163.0,848.0,GasA,Ex,Y,SBrkr,848,0,0,848,1.0,0.0,1,0,1,1,Gd,4,Typ,0,,Attchd,2003.0,Fin,2,420,TA,TA,Y,140,0,0,0,0,0,,,,0,6,2009,WD,Normal,144000,1229,1696.0
837,20,RL,,6173,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1967,1967,Gable,CompShg,HdBoard,Wd Sdng,BrkFace,75.0,TA,TA,CBlock,TA,TA,No,GLQ,599.0,Unf,0.0,277.0,876.0,GasA,TA,Y,SBrkr,902,0,0,902,0.0,0.0,1,0,3,1,TA,6,Typ,0,,Attchd,1967.0,Unf,1,288,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,8,2007,WD,Normal,125500,1231,1778.0
839,20,RL,,8475,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,7,1956,1956,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,228.0,Unf,0.0,724.0,952.0,GasA,Ex,Y,FuseA,952,0,0,952,0.0,0.0,1,0,2,1,TA,4,Typ,0,,Detchd,1956.0,Unf,1,283,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2008,WD,Normal,135750,1234,1904.0
840,20,RL,78.0,10264,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,183.0,Gd,TA,PConc,Gd,TA,Av,ALQ,1162.0,Unf,0.0,426.0,1588.0,GasA,Ex,Y,SBrkr,1588,0,0,1588,0.0,0.0,2,0,3,1,Gd,6,Typ,0,,Attchd,1999.0,RFn,2,472,TA,TA,Y,158,29,0,0,0,0,,,,0,8,2006,WD,Normal,214000,1237,3176.0
841,20,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,117.0,224.0,894.0,GasA,Ex,Y,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,1973.0,Unf,1,336,TA,TA,Y,416,144,0,0,0,0,,MnPrv,,0,4,2010,WD,Normal,138500,1238,1788.0
843,80,RL,,8750,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,7,6,1975,1975,Gable,CompShg,Plywood,Plywood,Stone,50.0,TA,TA,CBlock,TA,TA,Av,Rec,224.0,GLQ,530.0,98.0,852.0,GasA,TA,Y,SBrkr,918,0,0,918,0.0,1.0,1,0,3,0,TA,4,Typ,0,,Attchd,1975.0,Unf,1,360,TA,TA,Y,192,84,0,0,0,0,,,,0,3,2007,WD,Normal,148000,1241,1770.0
845,60,RL,65.0,14006,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,144.0,Gd,TA,PConc,Gd,TA,,Unf,0.0,Unf,0.0,936.0,936.0,GasA,Ex,Y,SBrkr,936,840,0,1776,0.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,2002.0,RFn,2,474,TA,TA,Y,144,96,0,0,0,0,,,,0,2,2006,WD,Normal,192500,1243,2712.0
846,70,RL,60.0,13515,Pave,Pa,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,2Story,6,6,1919,1950,Gambr,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,764.0,764.0,GasA,Ex,Y,FuseA,1060,764,0,1824,0.0,0.0,1,0,3,1,TA,8,Typ,1,Gd,Detchd,1940.0,Unf,2,520,TA,TA,N,0,0,126,0,0,0,,GdPrv,,0,7,2007,WD,Normal,180500,1244,2588.0
847,160,RL,,5062,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,TwnhsE,2Story,7,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,828.0,LwQ,182.0,180.0,1190.0,GasA,Gd,Y,SBrkr,1190,900,0,2090,1.0,0.0,2,0,3,1,Gd,6,Min,1,TA,Attchd,1984.0,Fin,2,577,TA,TA,Y,219,0,0,0,0,0,,,,0,9,2007,WD,Normal,207500,1245,3280.0
848,20,RL,105.0,13693,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Hip,CompShg,VinylSd,VinylSd,Stone,554.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1728.0,BLQ,495.0,195.0,2418.0,GasA,Ex,Y,SBrkr,2464,0,0,2464,1.0,0.0,2,1,4,1,Ex,9,Typ,1,Ex,Attchd,2007.0,Fin,3,650,TA,TA,Y,358,78,0,0,0,0,,,,0,8,2008,WD,Normal,417500,1247,4882.0
850,30,RL,,17529,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1924,1950,Gable,CompShg,BrkFace,Wd Sdng,Stone,65.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,872.0,872.0,GasA,Fa,N,FuseF,872,0,0,872,0.0,0.0,1,0,2,1,Fa,5,Mod,1,Gd,Detchd,1924.0,Unf,1,322,Fa,Fa,N,0,0,116,0,0,0,,,,0,4,2006,WD,Normal,105000,1249,1744.0
851,160,RM,21.0,1504,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,4,4,1972,1972,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,252.0,Unf,0.0,294.0,546.0,GasA,TA,Y,SBrkr,546,546,0,1092,0.0,0.0,1,1,3,1,TA,5,Typ,0,,Attchd,1972.0,Unf,1,253,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2007,WD,Normal,85500,1250,1638.0
852,60,RL,,10364,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1995,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,806.0,806.0,GasA,Gd,Y,SBrkr,806,766,0,1572,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,1995.0,Fin,2,373,TA,TA,Y,0,40,0,0,0,0,,,,0,5,2007,WD,Normal,168000,1251,2378.0
853,20,RL,75.0,10425,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1956,1958,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,774.0,Unf,0.0,330.0,1104.0,GasA,Gd,Y,SBrkr,1104,0,0,1104,1.0,0.0,1,0,3,1,TA,5,Typ,0,,Attchd,1956.0,RFn,1,384,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2008,WD,Normal,133000,1252,2208.0
855,20,RL,90.0,13339,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,6,1960,1960,Gable,CompShg,HdBoard,Plywood,Stone,132.0,TA,TA,CBlock,TA,TA,No,LwQ,65.0,BLQ,875.0,621.0,1561.0,GasA,TA,Y,SBrkr,1561,0,0,1561,1.0,0.0,2,0,3,1,TA,6,Typ,1,Gd,Attchd,1960.0,Fin,2,463,TA,TA,Y,0,148,0,0,120,0,,,,0,5,2009,WD,Normal,193000,1257,3122.0
856,60,RL,74.0,10927,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,280.0,Gd,TA,PConc,Gd,TA,Av,GLQ,546.0,Unf,0.0,512.0,1058.0,GasA,Ex,Y,SBrkr,1058,846,0,1904,1.0,0.0,2,1,3,1,Ex,8,Typ,1,Gd,BuiltIn,2003.0,Fin,2,736,TA,TA,Y,179,60,0,0,0,0,,,,0,6,2006,WD,Normal,275000,1263,2962.0
857,20,RL,78.0,9316,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,140.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,56.0,Unf,0.0,1558.0,1614.0,GasA,Ex,Y,SBrkr,1614,0,0,1614,0.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2005.0,Fin,2,576,TA,TA,Y,100,45,0,0,0,0,,,,0,3,2006,WD,Normal,225000,1264,3228.0
858,20,RL,73.0,8760,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,220.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1194.0,1194.0,GasA,TA,Y,SBrkr,1194,0,0,1194,1.0,0.0,1,0,3,1,TA,6,Typ,0,,Attchd,1959.0,RFn,1,312,TA,TA,Y,0,0,120,0,0,0,,,,0,4,2010,WD,Normal,148000,1265,2388.0
859,20,RL,75.0,9675,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1975,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,330.0,Rec,432.0,102.0,864.0,GasA,TA,Y,SBrkr,879,0,0,879,0.0,0.0,1,0,3,1,TA,5,Typ,0,,Attchd,1975.0,Unf,2,440,TA,TA,Y,0,80,0,0,0,0,,,,0,9,2007,Con,Normal,120000,1266,1743.0
861,160,RM,41.0,2665,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,Mn,Unf,0.0,Unf,0.0,264.0,264.0,GasA,TA,Y,SBrkr,616,688,0,1304,0.0,0.0,1,1,3,1,TA,5,Typ,1,TA,BuiltIn,1977.0,RFn,1,336,TA,TA,Y,141,0,0,0,0,0,,,,0,5,2006,WD,Normal,104500,1268,1568.0
862,75,RM,60.0,10800,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.5Unf,7,7,1914,1970,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Gd,TA,Mn,Rec,390.0,Unf,0.0,490.0,880.0,GasW,Fa,N,SBrkr,880,888,0,1768,0.0,0.0,1,1,2,1,TA,6,Typ,2,TA,Detchd,1914.0,Unf,2,320,TA,TA,N,0,341,0,0,0,0,,,,0,10,2006,WD,Normal,163000,1270,2648.0
864,80,RL,59.0,9587,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,182.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,655.0,Unf,0.0,201.0,856.0,GasA,Ex,Y,SBrkr,1166,0,0,1166,1.0,0.0,2,0,2,1,Gd,5,Typ,0,,Attchd,2005.0,Fin,2,400,TA,TA,Y,212,0,0,0,0,0,,,,0,7,2008,WD,Normal,190000,1272,2022.0
